特征,系数(标准化后),影响,影响强度
FCF年份_T4,0.9075832416125961,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.8024718410107501,↑正相关（高分→盈利）,★★★
折旧_T2,0.7922387518697576,↑正相关（高分→盈利）,★★★
研发费用率,0.698098067986851,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.6956665155479781,↑正相关（高分→盈利）,★★★
MA30,0.6909082222297184,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.640046749129654,↑正相关（高分→盈利）,★★★
step1通过,0.5619199835266098,↑正相关（高分→盈利）,★★★
营收_YoY,0.5430552398634033,↑正相关（高分→盈利）,★★★
营收_加速,0.5339034605903509,↑正相关（高分→盈利）,★★★
同行市值_均值,0.5084545801547454,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4629736232653652,↑正相关（高分→盈利）,★★★
ROA,0.45577143096776374,↑正相关（高分→盈利）,★★★
当前价,0.43041307485523245,↑正相关（高分→盈利）,★★★
step2通过,0.42335001652395843,↑正相关（高分→盈利）,★★★
波动率_120d,0.4151546105699193,↑正相关（高分→盈利）,★★★
FCF_YoY,0.4120379780993181,↑正相关（高分→盈利）,★★★
vol_ratio_60_250,0.40214733345300846,↑正相关（高分→盈利）,★★★
净利润_fcf_T1,0.3832224908691182,↑正相关（高分→盈利）,★★★
修正PE估值_通过,0.3715277397746799,↑正相关（高分→盈利）,★★★
行业MA250,0.3695177904999555,↑正相关（高分→盈利）,★★★
行业波动率_250d,0.36413990365770116,↑正相关（高分→盈利）,★★★
漂移率,0.355258116452691,↑正相关（高分→盈利）,★★★
同行PE_中位,0.34365313367505895,↑正相关（高分→盈利）,★★★
资本支出_T1,0.33430901525118206,↑正相关（高分→盈利）,★★★
市场_above_MA250,0.32902301817831325,↑正相关（高分→盈利）,★★★
锁定价当前价,0.3273996803009222,↑正相关（高分→盈利）,★★★
报价日价格,0.3273996803009222,↑正相关（高分→盈利）,★★★
营收_T2,0.3233195372143397,↑正相关（高分→盈利）,★★★
价格标准差,0.3223662394785936,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.3152834135560569,↑正相关（高分→盈利）,★★★
净利润_fcf_CAGR2,0.31179554648918395,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.28309666258674093,↑正相关（高分→盈利）,★★
产权比率,0.2743614276361873,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.263024437872321,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.263024437872321,↑正相关（高分→盈利）,★★
营收_T,0.25247655956496884,↑正相关（高分→盈利）,★★
营收_T4,0.24748472307257038,↑正相关（高分→盈利）,★★
折旧_T4,0.24530536898391922,↑正相关（高分→盈利）,★★
PE_vs_同行均值,0.23452809475111683,↑正相关（高分→盈利）,★★
行业PB_60d增长,0.22672797371497044,↑正相关（高分→盈利）,★★
净资产增长,0.20208298226026677,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.20179666263687338,↑正相关（高分→盈利）,★★
盈利能力_T,0.20070926412049156,↑正相关（高分→盈利）,★★
PE_vs_行业,0.19336246332684778,↑正相关（高分→盈利）,★★
总分_T,0.19283041311625843,↑正相关（高分→盈利）,★★
营业利润_YoY,0.18273990132618625,↑正相关（高分→盈利）,★★
NOPAT_YoY,0.18273990132618625,↑正相关（高分→盈利）,★★
净利润_fcf_T4,0.18170010882988688,↑正相关（高分→盈利）,★★
净利润_fcf_T2,0.17671984956702977,↑正相关（高分→盈利）,★★
营收_T1,0.17457577829356954,↑正相关（高分→盈利）,★★
NOPAT_T1,0.16504256111565938,↑正相关（高分→盈利）,★★
营业利润_T1,0.16498576312009813,↑正相关（高分→盈利）,★★
行业级别,0.1631522644418448,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.15955010926946578,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.15522463938525802,↑正相关（高分→盈利）,★★
盈利能力_T-3,0.15082969293090442,↑正相关（高分→盈利）,★★
胜率_250d,0.14774653438431992,↑正相关（高分→盈利）,★
营收_3年斜率,0.1413923467389281,↑正相关（高分→盈利）,★
成长能力_T,0.13939544970597428,↑正相关（高分→盈利）,★
利息资本化率,0.13514197712734938,↑正相关（高分→盈利）,★
盈利能力_delta_1y,0.13507993583575073,↑正相关（高分→盈利）,★
净利润_fcf_加速,0.13389605057797238,↑正相关（高分→盈利）,★
流动资产周转率,0.13304233463040152,↑正相关（高分→盈利）,★
区间收益_20d,0.12630623062159124,↑正相关（高分→盈利）,★
胜率_60d,0.12333725623742352,↑正相关（高分→盈利）,★
无风险利率,0.12228927047811007,↑正相关（高分→盈利）,★
溢价率,0.12228927047811007,↑正相关（高分→盈利）,★
年化收益_60d,0.12192206069216475,↑正相关（高分→盈利）,★
行业波动率_总,0.11706142212797865,↑正相关（高分→盈利）,★
行业波动率_60d,0.11706142212797865,↑正相关（高分→盈利）,★
return_acceleration,0.11450552519913434,↑正相关（高分→盈利）,★
总分_斜率,0.11081049924294885,↑正相关（高分→盈利）,★
均价_all,0.10979034398233692,↑正相关（高分→盈利）,★
年化收益_120d,0.10952835249529964,↑正相关（高分→盈利）,★
盈利能力_delta_4y,0.10813098107741846,↑正相关（高分→盈利）,★
行业胜率_60d,0.10203423183150977,↑正相关（高分→盈利）,★
同行PS_均值,0.100913089439675,↑正相关（高分→盈利）,★
总分_T-4,0.09916122904968,↑正相关（高分→盈利）,★
price_vs_MA250,0.0960459137455956,↑正相关（高分→盈利）,★
市场指数_通过,0.09604184083238917,↑正相关（高分→盈利）,★
折旧_T,0.09456473278949074,↑正相关（高分→盈利）,★
子场景通过数,0.08920663745621078,↑正相关（高分→盈利）,★
MA20,0.08880659414920038,↑正相关（高分→盈利）,★
个股PB,0.08863921199301404,↑正相关（高分→盈利）,★
同行PE_标准差,0.08727143908684781,↑正相关（高分→盈利）,★
年化收益_20d,0.08185809052406703,↑正相关（高分→盈利）,★
总分_T-2,0.07972589116382336,↑正相关（高分→盈利）,★
NOPAT_T4,0.07827350727427797,↑正相关（高分→盈利）,★
营业利润_T4,0.07822680515547638,↑正相关（高分→盈利）,★
参数构造_通过,0.07695353290218744,↑正相关（高分→盈利）,★
流动比率,0.07397493669243493,↑正相关（高分→盈利）,★
行业PE,0.07364856516936655,↑正相关（高分→盈利）,★
存货,0.07108343498816082,↑正相关（高分→盈利）,★
PB_vs_同行均值,0.0678601997891655,↑正相关（高分→盈利）,★
总分_delta_1y,0.06719053244625171,↑正相关（高分→盈利）,★
应收账款,0.06710589167724522,↑正相关（高分→盈利）,★
净利润_fcf_YoY,0.06433055176683027,↑正相关（高分→盈利）,★
研发费用率_is,0.06067649517337403,↑正相关（高分→盈利）,★
NOPAT_3年斜率,0.0552858822171865,↑正相关（高分→盈利）,★
capex_intensity,0.04344878155953258,↑正相关（高分→盈利）,★
行业总天数,0.033516232370569374,↑正相关（高分→盈利）,★
行业年化收益_60d,0.03263822776843258,↑正相关（高分→盈利）,★
行业漂移率,0.03263822776843258,↑正相关（高分→盈利）,★
DCF估值_通过,0.032030248544201396,↑正相关（高分→盈利）,★
毛利率,0.031283380210535686,↑正相关（高分→盈利）,★
资本支出_T3,0.030405151388321533,↑正相关（高分→盈利）,★
FCF_3年斜率,0.029629745777168263,↑正相关（高分→盈利）,★
price_vs_MA60,0.028970207782091067,↑正相关（高分→盈利）,★
行业区间收益_60d,0.027455745992212177,↑正相关（高分→盈利）,★
ROE摊薄,0.02388516096766433,↑正相关（高分→盈利）,★
ROE,0.02383516443685414,↑正相关（高分→盈利）,★
总分_delta_2y,0.023647535423321448,↑正相关（高分→盈利）,★
利润增长,0.021622595554840182,↑正相关（高分→盈利）,★
fin_exp,0.021071336423995397,↑正相关（高分→盈利）,★
营业利润率_is,0.01921102323405548,↑正相关（高分→盈利）,★
长期借款,0.01912156783740923,↑正相关（高分→盈利）,★
成长能力_斜率,0.016910064642217892,↑正相关（高分→盈利）,★
行业MA20,0.012863611554149423,↑正相关（高分→盈利）,★
总分_T-1,0.011934892194610795,↑正相关（高分→盈利）,★
成长能力_T-3,0.011825285727953199,↑正相关（高分→盈利）,★
净利润率_is,0.008818786655392132,↑正相关（高分→盈利）,★
流动比率_bs,0.007863971231718423,↑正相关（高分→盈利）,★
现金利息负债比,0.0030311767942305147,↑正相关（高分→盈利）,★
投资现金流,0.0,↓负相关（高分→亏损）,★
营运资金变动_T1,0.0,↓负相关（高分→亏损）,★
net_profit,0.0,↓负相关（高分→亏损）,★
筹资活动现金流,0.0,↓负相关（高分→亏损）,★
投资活动现金流,0.0,↓负相关（高分→亏损）,★
经营活动现金流小计,0.0,↓负相关（高分→亏损）,★
非流动负债,0.0,↓负相关（高分→亏损）,★
销售费用率,0.0,↓负相关（高分→亏损）,★
无形资产,0.0,↓负相关（高分→亏损）,★
营运资金变动_T3,0.0,↓负相关（高分→亏损）,★
EBITDA,0.0,↓负相关（高分→亏损）,★
EBIT,0.0,↓负相关（高分→亏损）,★
基本EPS,0.0,↓负相关（高分→亏损）,★
report_year,0.0,↓负相关（高分→亏损）,★
无形资产占比,0.0,↓负相关（高分→亏损）,★
营运资金变动_T4,0.0,↓负相关（高分→亏损）,★
非流动资产,0.0,↓负相关（高分→亏损）,★
sell_exp,0.0,↓负相关（高分→亏损）,★
营运资金变动_T2,0.0,↓负相关（高分→亏损）,★
sw_l1_name,0.0,↓负相关（高分→亏损）,★
营收增长率,0.0,↓负相关（高分→亏损）,★
盈利能力_趋势,0.0,↓负相关（高分→亏损）,★
融资金额,0.0,↓负相关（高分→亏损）,★
净资产负债表,0.0,↓负相关（高分→亏损）,★
总分_趋势,0.0,↓负相关（高分→亏损）,★
sw_l1_code,0.0,↓负相关（高分→亏损）,★
sw_l2_code,0.0,↓负相关（高分→亏损）,★
sw_l2_name,0.0,↓负相关（高分→亏损）,★
成长能力_趋势,0.0,↓负相关（高分→亏损）,★
sw_l3_code,0.0,↓负相关（高分→亏损）,★
sw_l3_name,0.0,↓负相关（高分→亏损）,★
行业PS,0.0,↓负相关（高分→亏损）,★
净债务,0.0,↓负相关（高分→亏损）,★
锁定期,0.0,↓负相关（高分→亏损）,★
综合趋势,0.0,↓负相关（高分→亏损）,★
评级_T,0.0,↓负相关（高分→亏损）,★
评级_T-4,0.0,↓负相关（高分→亏损）,★
营业利润率,0.0,↓负相关（高分→亏损）,★
溢价率下限,0.0,↓负相关（高分→亏损）,★
评级_T-1,0.0,↓负相关（高分→亏损）,★
评级_T-2,0.0,↓负相关（高分→亏损）,★
营运资金变动_T,0.0,↓负相关（高分→亏损）,★
Beta,0.0,↓负相关（高分→亏损）,★
评级_T-3,0.0,↓负相关（高分→亏损）,★
溢价率上限,-0.000355916997818897,↓负相关（高分→亏损）,★
股东权益,-0.0019669671265028455,↓负相关（高分→亏损）,★
现金流动负债比,-0.004305173096885604,↓负相关（高分→亏损）,★
波动率_20d,-0.004632576896123982,↓负相关（高分→亏损）,★
NOPAT_T2,-0.005225881103972429,↓负相关（高分→亏损）,★
营业利润_T2,-0.00526858709713646,↓负相关（高分→亏损）,★
流动资产,-0.011605680819442231,↓负相关（高分→亏损）,★
归母净利润,-0.013452740511439153,↓负相关（高分→亏损）,★
个股PE,-0.014246000046430498,↓负相关（高分→亏损）,★
利润总额,-0.014697813178413994,↓负相关（高分→亏损）,★
营业利润,-0.014750600446693931,↓负相关（高分→亏损）,★
总资产,-0.01577351997976375,↓负相关（高分→亏损）,★
rd_exp,-0.016042540002339636,↓负相关（高分→亏损）,★
盈利能力_T-2,-0.01631510711141891,↓负相关（高分→亏损）,★
总股本,-0.01713031848522377,↓负相关（高分→亏损）,★
应付债券,-0.017691356631023163,↓负相关（高分→亏损）,★
成长能力_delta_2y,-0.017709078323959477,↓负相关（高分→亏损）,★
短期借款,-0.01780564038294978,↓负相关（高分→亏损）,★
流动负债,-0.01823950898037034,↓负相关（高分→亏损）,★
总负债,-0.018239708943793367,↓负相关（高分→亏损）,★
营业总收入,-0.019527994396606626,↓负相关（高分→亏损）,★
营业收入,-0.019527994396606626,↓负相关（高分→亏损）,★
货币资金,-0.019609935126746126,↓负相关（高分→亏损）,★
固定资产,-0.01995141694527988,↓负相关（高分→亏损）,★
商誉占总资产比,-0.02021252608359482,↓负相关（高分→亏损）,★
经营现金流,-0.020327584177457704,↓负相关（高分→亏损）,★
反向推算_通过,-0.020747028408924704,↓负相关（高分→亏损）,★
admin_exp,-0.021939386793330046,↓负相关（高分→亏损）,★
商誉,-0.02194581544157167,↓负相关（高分→亏损）,★
FCF_margin,-0.02677083215977252,↓负相关（高分→亏损）,★
NOPAT_T,-0.02967930486560623,↓负相关（高分→亏损）,★
营业利润_T,-0.0297210857932457,↓负相关（高分→亏损）,★
行业PE_通过,-0.03333814884215233,↓负相关（高分→亏损）,★
总营收增长,-0.035603757240368135,↓负相关（高分→亏损）,★
资本支出_加速,-0.03681280746832497,↓负相关（高分→亏损）,★
营收增长,-0.03888908795379893,↓负相关（高分→亏损）,★
FCF_conversion,-0.03929021291007135,↓负相关（高分→亏损）,★
市场胜率_120d,-0.0394102350922031,↓负相关（高分→亏损）,★
盈利能力_delta_2y,-0.039524614548642194,↓负相关（高分→亏损）,★
同行PS_中位,-0.04346332739655656,↓负相关（高分→亏损）,★
营收增长2,-0.046009571362383,↓负相关（高分→亏损）,★
个股PE_通过,-0.04883967715180706,↓负相关（高分→亏损）,★
FCF_CAGR2,-0.055524606209665615,↓负相关（高分→亏损）,★
资本支出_YoY,-0.056221715299018725,↓负相关（高分→亏损）,★
胜率_20d,-0.057470181608471,↓负相关（高分→亏损）,★
price_vs_MA120,-0.05828432620189248,↓负相关（高分→亏损）,★
胜率_120d,-0.06784874801926208,↓负相关（高分→亏损）,★
速动比率,-0.07203118228113681,↓负相关（高分→亏损）,★
ROE增长,-0.07369860253788904,↓负相关（高分→亏损）,★
波动率,-0.07749635536795677,↓负相关（高分→亏损）,★
成长能力_delta_1y,-0.07765454270212868,↓负相关（高分→亏损）,★
区间收益_250d,-0.07824509308174316,↓负相关（高分→亏损）,★
年化收益_250d,-0.07824509308174316,↓负相关（高分→亏损）,★
资产负债比,-0.08091796885645061,↓负相关（高分→亏损）,★
NOPAT_margin,-0.08175404014358836,↓负相关（高分→亏损）,★
总分_delta_4y,-0.08222037874075923,↓负相关（高分→亏损）,★
管理费用率,-0.08485029384399673,↓负相关（高分→亏损）,★
总资产周转率,-0.09007767526739058,↓负相关（高分→亏损）,★
蒙特卡洛_通过,-0.09115017596043311,↓负相关（高分→亏损）,★
已获利息倍数,-0.09859047868753935,↓负相关（高分→亏损）,★
vol_ratio_20_60,-0.09874041989301864,↓负相关（高分→亏损）,★
数据天数,-0.1058981392063984,↓负相关（高分→亏损）,★
资产负债率,-0.106519527789977,↓负相关（高分→亏损）,★
扣非净利增长,-0.10854786056809071,↓负相关（高分→亏损）,★
净利增长,-0.10856766599088502,↓负相关（高分→亏损）,★
存货周转率,-0.11880000099556505,↓负相关（高分→亏损）,★
定增建议参与,-0.12224967172800488,↓负相关（高分→亏损）,★
NOPAT_加速,-0.1252168391657911,↓负相关（高分→亏损）,★
营业利润_加速,-0.1252168391657911,↓负相关（高分→亏损）,★
MA60,-0.12602665411725736,↓负相关（高分→亏损）,★
成长能力_T-2,-0.12641330403418383,↓负相关（高分→亏损）,★
个股PS,-0.1291863665131871,↓负相关（高分→亏损）,★
FCF年份_T3,-0.1345808504753445,↓负相关（高分→亏损）,★
成长能力_T-1,-0.13768796502763353,↓负相关（高分→亏损）,★
PS_vs_同行均值,-0.14318412687070062,↓负相关（高分→亏损）,★
FCF_加速,-0.14563754177590638,↓负相关（高分→亏损）,★
同行公司数,-0.15356184195184266,↓负相关（高分→亏损）,★★
行业区间收益_120d,-0.1589070936918895,↓负相关（高分→亏损）,★★
